Title,Genre,IMDB Rating,Rating
Albion: The Enchanted Stallion,"Action, Adventure, Comedy",5.3,TV-PG
Alelí,"Comedy, Drama",6.3,TV-MA
Alex Fernández: The Best Comedian in the World,Comedy,6.2,TV-MA
Alex Strangelove,"Comedy, Drama, Romance",6.3,TV-MA
Ali,"Biography, Drama, Sport",6.8,R
Ali Baba ve 7 Cüceler,"Action, Comedy, Drama",5.7,N/A
Ali Wong: Baby Cobra,Comedy,7.6,TV-MA
Ali Wong: Hard Knock Wife,Comedy,7.4,TV-MA
Ali's Wedding,"Comedy, Drama, Romance",6.9,TV-MA
Alibaba Aur 40 Chor,"Action, Adventure, Family",6.2,N/A
Alice Doesn't Live Here Anymore,"Drama, Romance",7.3,PG
Alice Júnior,"Animation, Comedy, Drama",7.0,Not Rated
Alien Contact: Outer Space,Documentary,3.9,Not Rated
Alien Warfare,"Action, Sci-Fi",2.6,Not Rated
Alien Xmas,"Animation, Short, Adventure, Comedy, Family, Fantasy, Sci-Fi",6.2,TV-Y
Aliens Ate My Homework,"Adventure, Comedy, Family, Fantasy, Sci-Fi",4.6,PG
Duk haan chau faan,"Comedy, Romance",6.3,N/A
All About Nina,"Comedy, Drama, Romance",6.1,R
All Because of You,"Action, Comedy, Romance",4.0,TV-14
All Day and a Night,Drama,5.8,R
All Dogs Go to Heaven,"Animation, Comedy, Drama",6.8,G
All Hallows' Eve,"Horror, Thriller",5.1,Unrated
All Light Will End,"Horror, Thriller",3.9,TV-MA
All of You,"Drama, Romance",5.5,TV-14
All the Boys Love Mandy Lane,"Horror, Mystery, Thriller",5.5,R
All the Bright Places,"Drama, Romance",6.5,TV-MA
All the Devil's Men,"Action, Thriller",5.1,R
All Together Now,Drama,6.5,PG
Alles ist gut,Drama,6.5,TV-MA
Almost Happy,"Drama, Romance, Thriller",N/A,N/A
Sabrina Carpenter: Almost Love,"Short, Music",7.5,Not Rated
Alone in Berlin,"Drama, History, War",6.5,R
Alone/Together,"Drama, Romance",6.7,N/A
Along Came a Spider,"Drama, Thriller",6.4,R
Alpha and Omega 2: A Howl-iday Adventure,"Animation, Action, Adventure, Comedy, Family",5.0,Not Rated
Altered Carbon: Resleeved,"Animation, Action, Crime",6.5,TV-MA
Always a Bridesmaid,"Comedy, Romance",5.7,TV-PG
Always Be My Maybe,"Comedy, Romance",6.8,PG-13
Amandla! A Revolution in Four Part Harmony,"Documentary, History, Music",7.3,PG-13
Amar,"Drama, Romance",5.2,N/A
Amar Akbar Anthony,"Action, Comedy, Drama",7.5,Not Rated
Amar Akbar Anthony,"Action, Comedy, Drama",7.5,Not Rated
Amateur,"Comedy, Crime, Drama",6.9,R
American Anarchist,Documentary,5.8,TV-MA
American Assassin,"Action, Thriller",6.2,R
American Beauty,Drama,8.3,R
American Hangman,Thriller,5.9,N/A
American Heist,"Action, Crime, Drama",5.0,R
American History X,Drama,8.5,R
American Honey,"Adventure, Drama, Romance",7.0,R
American Psycho,"Comedy, Crime, Drama",7.6,R
American Son,Drama,5.8,TV-MA
"American Warfighter II, Celcius",Action,N/A,N/A
Amrapali,"Musical, Fantasy",6.6,N/A
Amy,"Documentary, Biography, Music",7.8,R
Amy Schumer: Growing,Comedy,5.3,TV-MA
Amy Schumer: The Leather Special,Comedy,2.9,TV-MA
An American Tail,"Animation, Adventure, Comedy",6.9,G
An American Tail: Fievel Goes West,"Animation, Adventure, Family",6.5,G
An American Tail: The Mystery of the Night Monster,"Animation, Adventure, Family, Mystery",6.0,G
An Evening with Beverly Luff Linn,"Comedy, Crime",5.8,R
An Interview with God,"Drama, Mystery",5.8,Unrated
An Ordinary Man,"Drama, Thriller, War",5.6,R
An Unremarkable Christmas,"Comedy, Drama",3.4,TV-14
Ana e Vitória,"Biography, Comedy, Music",6.6,N/A
Anaamika,Thriller,5.6,Not Rated
Anchor and Hope,"Comedy, Drama, Romance",6.3,N/A
Anchor Baby,"Drama, Thriller",6.3,Not Rated
Andaz Apna Apna,"Action, Comedy, Romance",8.1,Not Rated
Andhadhun,"Crime, Drama, Music",8.2,Not Rated
André and Wally B.,"Animation, Short, Family",5.3,G
Anelka: Misunderstood,"Documentary, Sport",6.4,TV-14
Anesthesia,"Crime, Drama",6.1,R
Angamaly Diaries,"Action, Comedy, Thriller",8.0,Not Rated
Angel Eyes,"Drama, Romance",5.6,R
Angel Has Fallen,"Action, Thriller",6.4,R
Angela's Christmas,"Animation, Short, Adventure",7.0,G
Angela's Christmas Wish,"Animation, Adventure, Comedy",7.0,TV-Y7-FV
Angels & Demons,"Action, Mystery, Thriller",6.7,PG-13
Anger Management,Comedy,6.2,PG-13
Angry Indian Goddesses,"Comedy, Drama",7.0,N/A
Ani... Dr. Kashinath Ghanekar,Drama,8.5,Not Rated
Anima,"Short, Music",7.7,N/A
Animal Crackers,"Comedy, Musical",7.5,G
Animal World,Documentary,7.3,N/A
Animas,Short,N/A,N/A
Anitta: Made in Honório,"Documentary, Biography, Music",7.1,TV-MA
Anjaan,"Action, Crime, Thriller",5.2,Not Rated
Anjelah Johnson: Not Fancy,"Documentary, Comedy",5.8,Not Rated
Ankhon Dekhi,"Comedy, Drama",8.0,N/A
Ankur Arora Murder Case,"Drama, Thriller",6.5,Not Rated
Annabelle Hooper and the Ghosts of Nantucket,"Adventure, Family, Mystery",5.6,Unrated
Anon,"Crime, Sci-Fi, Thriller",6.1,TV-MA
Another Forever,Drama,5.3,N/A
Ant-Man and the Wasp,"Action, Adventure, Comedy",7.0,PG-13
Anthony Jeselnik: Fire in the Maternity Ward,Comedy,7.2,TV-MA
Anthony Jeselnik: Thoughts and Prayers,Comedy,7.8,TV-MA
Anthony Kaun Hai?,"Mystery, Thriller",5.2,N/A
Antidote,"Horror, Thriller",5.1,N/A
Anwar,"Drama, Romance, Thriller",6.6,N/A
Apaharan,"Action, Crime, Drama",7.4,Not Rated
Apex: The Story of the Hypercar,Documentary,7.3,Unrated
Apollo 18,"Horror, Mystery, Sci-Fi",5.2,PG-13
Apostle,"Drama, Fantasy, Horror",6.3,TV-MA
Arès,"Drama, Sci-Fi, Thriller",6.3,N/A
Aram + Aram = Kinnaram,Comedy,7.2,N/A
Arango y Sanint: Ríase el show,Comedy,4.0,N/A
Are We Done Yet?,"Comedy, Family, Fantasy",4.3,PG
Ari Eldjárn: Pardon My Icelandic,Comedy,7.9,TV-MA
Ari Shaffir: Double Negative,Comedy,6.8,N/A
"Ariana Grande: Excuse Me, I Love You","Documentary, Music",6.4,TV-MA
Arjun: The Warrior Prince,"Animation, Action, Adventure",6.9,Not Rated
ARQ,"Action, Sci-Fi, Thriller",6.4,TV-MA
Arrow,"Action, Adventure, Crime",7.5,TV-14
Arsenio Hall: Smart and Classy,Comedy,6.0,TV-MA
Arthur,"Comedy, Romance",5.7,PG-13
Arthur Christmas,"Animation, Adventure, Comedy",7.1,PG
Article 15,"Crime, Drama, Mystery",8.2,Not Rated
Aruna,"Short, Drama",N/A,N/A
"As Above, So Below","Horror, Mystery, Thriller",6.2,R
As Good as It Gets,"Comedy, Drama, Romance",7.7,PG-13
Ascharyachakit!,"Drama, Romance",5.0,N/A
Asees,Drama,7.4,N/A
Asoka,"Action, Biography, Drama",6.5,R
Asperger's Are Us,"Documentary, Comedy, Drama",6.7,N/A
Assimilate,"Horror, Mystery, Sci-Fi",5.3,TV-PG
Asura Guru,"Action, Crime, Thriller",3.2,Not Rated
At All Costs,"Documentary, Sport",6.5,PG
Love at First Light,"Short, Comedy",N/A,N/A
ATM,"Horror, Thriller",4.7,R
Attacking the Devil: Harold Evans and the Last Nazi War Crime,Documentary,8.0,N/A
Aurora,"Romance, Sci-Fi, Thriller",6.0,Unrated
Austin Powers in Goldmember,"Action, Adventure, Comedy",6.2,PG-13
Austin Powers: International Man of Mystery,"Adventure, Comedy",7.0,PG-13
Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy",6.6,PG-13
Autohead,"Crime, Drama",6.0,N/A
Automata,Horror,4.8,N/A
Ava,"Action, Crime, Drama",5.4,R
Ave Maryam,"Drama, Romance",7.1,N/A
Avengement,"Action, Crime",6.6,Not Rated
Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,PG-13
Avicii: True Stories,"Documentary, Biography, Music",7.6,Not Rated
Await Further Instructions,"Horror, Mystery, Sci-Fi",4.8,TV-MA
Awake,"Crime, Drama, Mystery",6.5,R
Awe,"Documentary, Short",N/A,N/A
Axone,"Comedy, Drama",7.0,N/A
Ayana,Drama,7.2,N/A
Azali,Drama,5.6,N/A
Azhar,"Biography, Drama, Sport",5.7,Not Rated
Aziz Ansari: Buried Alive,Comedy,7.3,N/A
Aziz Ansari: Right Now,Comedy,7.5,TV-MA
B.A. Pass,"Crime, Drama, Thriller",6.4,Unrated
B.A. Pass 2,Drama,2.1,N/A
Baadshaho,"Action, Adventure, Thriller",4.9,Not Rated
Baaghi,"Action, Romance, Thriller",5.2,Not Rated
Baazaar,"Crime, Drama, Thriller",6.6,Not Rated
Babam ve Oglum,"Drama, Family",8.2,Not Rated
Babamin Ceketi,Comedy,4.9,N/A
Babel,Drama,7.4,R
Baby Dolls,"Documentary, Short",N/A,N/A
Baby Mamas,Comedy,6.5,TV-14
Back and Forth,Short,8.1,N/A
Back of the Net,"Comedy, Family",5.3,Unrated
Backcountry,"Adventure, Drama, Horror",6.0,R
Backdraft 2,"Action, Crime, Drama, Thriller",4.8,R
Backfire,"Crime, Film-Noir, Mystery",6.6,Passed
Backtrack,"Drama, Fantasy, Mystery",6.0,R
Bad Boys,"Action, Comedy, Crime",6.9,R
Bad Boys II,"Action, Comedy, Crime",6.6,R
Bad Day for the Cut,"Action, Crime, Drama",6.5,Not Rated
Bad Genius,"Crime, Drama, Thriller",7.7,N/A
Bad Grandpa .5,Comedy,6.3,Unrated
Bad Match,"Mystery, Thriller",5.6,TV-MA
Bad Rap,"Documentary, Music",6.5,N/A
Bad Seeds,Drama,3.0,N/A
Badha,"Action, Drama, Romance",7.0,N/A
Badla,"Crime, Drama, Mystery",7.8,Not Rated
Badland,Western,5.5,TV-14
Balto,"Animation, Adventure, Drama",7.1,G
Balu Mahi,"Adventure, Drama, Romance",6.3,N/A
Bana Masal Anlatma,"Comedy, Fantasy, Romance",7.4,N/A
Banana Island Ghost,"Action, Comedy, Fantasy",6.2,N/A
Banana Split,Comedy,6.2,R
Band Aid,"Comedy, Drama, Music",6.6,R
Band of Robbers,"Adventure, Comedy, Crime",6.0,TV-MA
Bandie,"Action, Drama, Romance",4.6,N/A
Bang Rajan 2,"Action, Adventure, War",5.5,TV-14
Bangistan,"Comedy, Drama",4.5,Not Rated
Barça Dreams,"Documentary, Sport",7.3,N/A
Barah Aana,"Comedy, Crime, Drama",6.8,N/A
Barbie as The Princess and the Pauper,"Animation, Comedy, Family, Musical",6.9,Not Rated
Barbie: Dolphin Magic,"Animation, Adventure, Family, Fantasy",5.7,TV-G
Barbie in a Mermaid Tale,"Animation, Family, Fantasy",6.3,TV-Y
Barbie in Princess Power,"Animation, Family, Fantasy",5.5,TV-Y
Barbie in Rock 'N Royals,"Animation, Family",6.1,Not Rated
Barbie Princess Adventure,"Animation, Family, Musical",5.6,N/A
Barbie: Star Light Adventure,"Animation, Family, Sci-Fi",6.0,Not Rated
Barbie: A Fairy Secret,"Animation, Family, Fantasy",5.8,TV-Y
Barbie: Princess Charm School,"Animation, Family, Fantasy",6.5,TV-Y
Barbie: Spy Squad,"Animation, Family",5.7,TV-Y7
Barbie: The Princess & the Popstar,"Animation, Family, Musical",5.8,TV-Y
Barbie Video Game Hero,Animation,5.2,Not Rated
Barbra: The Music... The Mem'ries... The Magic!,Music,7.5,TV-14
Barcelona: A Love Untold,"Drama, Romance",6.9,TV-PG
Bareilly Ki Barfi,"Comedy, Romance",7.5,Not Rated
Barely Lethal,"Action, Comedy",5.4,PG-13
Barfi!,"Comedy, Drama, Romance",8.1,Not Rated
Barrio Universitario,"Comedy, Romance",3.5,N/A
Barry,"Action, Comedy, Crime",8.3,TV-MA
Barsaat,"Action, Romance",5.4,Not Rated
BASEketball,"Comedy, Sport",6.5,R
Basic Instinct,"Drama, Mystery, Thriller",7.0,R
Bathinda Express,Drama,5.7,N/A
Bathtubs Over Broadway,"Documentary, Comedy, Music",7.6,PG-13
Batman: The Killing Joke,"Animation, Action, Crime",6.4,R
Battle,"Drama, Music, Romance",5.9,TV-MA
Battle Drone,"Action, Sci-Fi",5.1,PG-13
Bawarchi,"Comedy, Musical, Drama",8.0,Not Rated
Baxu and the Giants,"Short, Drama, Family",7.2,N/A
Bayonet,"Short, Drama, Thriller",6.5,Not Rated
Bazaar,"Drama, Family",7.3,Not Rated
Bbuddah... Hoga Terra Baap,"Action, Comedy, Crime",5.6,Not Rated
Be Here Now,"Documentary, Biography, Drama",8.6,N/A
Be Somebody,"Comedy, Drama, Romance",5.6,PG
Beasts of No Nation,"Drama, War",7.7,TV-MA
Beats,Drama,6.4,TV-MA
Beauty and the Bestie,"Action, Comedy, Drama",4.8,TV-14
Beavis and Butt-Head Do America,"Animation, Adventure, Comedy",6.8,PG-13
Bébé's Kids,"Animation, Comedy, Fantasy",5.8,PG-13
Becoming,Documentary,6.8,PG
Becoming Jane,"Biography, Drama, Romance",7.0,PG
Bedtime Stories,"Adventure, Comedy, Family",6.0,PG
Bee Movie,"Animation, Adventure, Comedy",6.1,PG
Before 30,Drama,8.1,N/A
Before I Fall,"Drama, Fantasy, Mystery",6.5,PG-13
Before I Wake,"Drama, Fantasy, Horror",6.2,PG-13
Before the Flood,"Documentary, News",8.2,PG
Behind the Curtain: Todrick Hall,Documentary,6.8,N/A
Beiimaan Love,"Drama, Romance, Thriller",2.8,N/A
Being AP,"Documentary, Sport",6.5,N/A
Being Elmo: A Puppeteer's Journey,Documentary,7.6,PG
Being Mrs Elliot,"Comedy, Romance",6.5,N/A
Being Napoleon,Documentary,5.4,N/A
Belgica,Drama,6.7,N/A
Belief: The Possession of Janet Moses,"Documentary, Crime, Drama",5.7,N/A
Belmonte,"Comedy, Drama",6.1,N/A
Below Her Mouth,"Drama, Romance",5.5,Not Rated
Ben Platt Live from Radio City Music Hall,Music,8.4,TV-PG
Benchwarmers 2: Breaking Balls,"Comedy, Sport",4.1,PG-13
Beneath the Leaves,Thriller,4.6,TV-MA
Benji,"Adventure, Family, Romance",6.1,G
Benji: Off the Leash!,"Drama, Family",5.1,PG
Benji's Very Own Christmas Story,Family,5.2,Unrated
Bennett's War,Sport,5.9,PG-13
Berlin Calling,"Comedy, Drama, Music",7.2,N/A
Berlin Kaplani,"Comedy, Family, Sport",5.1,N/A
Berlin Syndrome,"Drama, Horror, Mystery",6.3,R
Bert Kreischer: Hey Big Boy,Comedy,7.1,N/A
Bert Kreischer: The Machine,Comedy,7.7,TV-MA
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",N/A,8.7,TV-MA
Best Worst Thing That Ever Could Have Happened...,Documentary,7.5,N/A
Bethany Hamilton: Unstoppable,"Documentary, Sport",7.4,PG
Betting on Zero,Documentary,7.2,Not Rated
Betty White: First Lady of Television,Documentary,7.8,N/A
Between Maybes,"Drama, Romance",6.3,Not Rated
Between Two Ferns: The Movie,Comedy,6.1,TV-MA
Between Worlds,"Fantasy, Thriller",4.0,R
Bewafaa,"Drama, Romance",4.4,N/A
Beynelmilel,"Comedy, Drama, Music",7.2,N/A
Beyond All Boundaries,"Short, War",7.4,N/A
Beyond Skyline,"Action, Adventure, Sci-Fi",5.3,R
Beyond the Clouds,"Drama, Family",7.0,N/A
Bhagam Bhag,"Comedy, Drama, Mystery",6.5,Not Rated
Bhangra Paa Le,"Comedy, Drama, Music",6.1,N/A
Bhasmasur,Drama,6.8,N/A
Bhavesh Joshi Superhero,"Action, Crime, Drama",7.6,Not Rated
Bheeshma,"Action, Comedy, Romance",6.6,Not Rated
Bhool Bhulaiyaa,"Comedy, Horror, Mystery",7.3,Not Rated
Bhoot,"Horror, Mystery, Thriller",6.5,N/A
Bhouri,Drama,6.8,N/A
Bibi,"Animation, Short, Adventure",6.4,G
Bibi,"Animation, Short, Adventure",6.4,G
Bibi,"Animation, Short, Adventure",6.4,G
Bibi,"Animation, Short, Adventure",6.4,G
Big Bear,Comedy,5.1,TV-MA
